Generation  0
Individual id:  0  | Accuracy:  0.3333333333333333  | Hinge Loss:  14.473365833530194
Individual id:  1  | Accuracy:  0.3333333333333333  | Hinge Losns:  12.54731870662382
Individual id:  2  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.232568584920769
Individual id:  3  | Accuracy:  0.3333333333333333  | Hinge Loss:  6.442711604998438
Individual id:  4  | Accuracy:  0.3333333333333333  | Hinge Loss:  6.489514781645526
Individual id:  5  | Accuracy:  0.3333333333333333  | Hinge Loss:  7.627116344949526
Individual id:  6  | Accuracy:  0.3333333333333333  | Hinge Loss:  8.90269342002531
Individual id:  7  | Accuracy:  0.3333333333333333  | Hinge Loss:  11.904439361670875
Individual id:  8  | Accuracy:  0.3333333333333333  | Hinge Loss:  9.91495239740297
Individual id:  9  | Accuracy:  0.3333333333333333  | Hinge Loss:  8.580047279761148
Individual id:  10  | Accuracy:  0.3333333333333333  | Hinge Loss:  9.119311498463292
Individual id:  11  | Accuracy:  0.3333333333333333  | Hinge Loss:  7.671523213411716
Individual id:  12  | Accuracy:  0.3333333333333333  | Hinge Loss:  8.030666820193064
Individual id:  13  | Accuracy:  0.14  | Hinge Loss:  7.229144992384502
Individual id:  14  | Accuracy:  0.3333333333333333  | Hinge Loss:  8.441252483004565
Individual id:  15  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.142389859056918
Individual id:  16  | Accuracy:  0.3333333333333333  | Hinge Loss:  14.083516404639559
Individual id:  17  | Accuracy:  0.3333333333333333  | Hinge Loss:  7.663165868359306
Individual id:  18  | Accuracy:  0.3333333333333333  | Hinge Loss:  8.733217184133798
Individual id:  19  | Accuracy:  0.3333333333333333  | Hinge Loss:  15.868610531865
Individual id:  20  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.253659235855377
Individual id:  21  | Accuracy:  0.3333333333333333  | Hinge Loss:  14.957265087953589
Individual id:  22  | Accuracy:  0.3333333333333333  | Hinge Loss:  6.2465296937725805
Individual id:  23  | Accuracy:  0.3333333333333333  | Hinge Loss:  26.094861219845477
Individual id:  24  | Accuracy:  0.38666666666666666  | Hinge Loss:  7.4911964917228016
Individual id:  25  | Accuracy:  0.16  | Hinge Loss:  10.917660624099232
Individual id:  26  | Accuracy:  0.3333333333333333  | Hinge Loss:  10.928159402291787
Individual id:  27  | Accuracy:  0.0  | Hinge Loss:  6.342225719423257
Individual id:  28  | Accuracy:  0.5333333333333333  | Hinge Loss:  6.168421133741698
Individual id:  29  | Accuracy:  0.16  | Hinge Loss:  9.96450109139612
Individual id:  30  | Accuracy:  0.31333333333333335  | Hinge Loss:  8.133086517961111
Individual id:  31  | Accuracy:  0.3333333333333333  | Hinge Loss:  6.112735207650849
Individual id:  32  | Accuracy:  0.3333333333333333  | Hinge Loss:  9.314884252630169
Individual id:  33  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.943249530151766
Individual id:  34  | Accuracy:  0.3333333333333333  | Hinge Loss:  9.95967683583597
Individual id:  35  | Accuracy:  0.3333333333333333  | Hinge Loss:  2.015845315379167
Individual id:  36  | Accuracy:  0.6666666666666666  | Hinge Loss:  4.156233442314721
Individual id:  37  | Accuracy:  0.3333333333333333  | Hinge Loss:  15.631458265010087
Individual id:  38  | Accuracy:  0.3333333333333333  | Hinge Loss:  15.315247147087733
Individual id:  39  | Accuracy:  0.3333333333333333  | Hinge Loss:  4.297545968060316
Individual id:  40  | Accuracy:  0.6666666666666666  | Hinge Loss:  5.288438827842587
Individual id:  41  | Accuracy:  0.013333333333333334  | Hinge Loss:  8.159564822249608
Individual id:  42  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.863386705913828
Individual id:  43  | Accuracy:  0.3333333333333333  | Hinge Loss:  16.21646796938652
Individual id:  44  | Accuracy:  0.3333333333333333  | Hinge Loss:  6.945709692823065
Individual id:  45  | Accuracy:  0.3333333333333333  | Hinge Loss:  18.019232011839
Individual id:  46  | Accuracy:  0.3333333333333333  | Hinge Loss:  17.047244689447407
Individual id:  47  | Accuracy:  0.3333333333333333  | Hinge Loss:  14.29880740993387
